Gulosa,Aleatoria,n_film
0.10358201700000791,0.10308232599982148,5
0.10259510900050373,0.10312062299999525,10
0.10268893400007073,0.10278845700031525,15
0.10310983500039583,0.10271990999990521,20
0.10256109700003435,0.10274909800045862,25
0.10297521700067591,0.10279566699955467,30
0.10281687099995906,0.10266792199945485,31
